                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78031,                0.72947,                0.97176,                0.97893,                0.93688,                0.96101,                0.78831,                0.71309,                0.79189,                0.87555,              0.0003268,              0.0003268,              0.0003268
                     37,                0.72337,                0.68035,                0.93748,                0.97685,                0.94073,                 0.9644,                0.79075,                0.68346,                0.76806,                0.86076,               0.000307,               0.000307,               0.000307
                     38,                0.71748,                 0.6825,                0.93483,                0.97545,                0.94077,                0.96915,                 0.8155,                0.64842,                0.74938,                 0.8484,              0.0002872,              0.0002872,              0.0002872
                     39,                0.71512,                0.63927,                0.92054,                0.96211,                0.95903,                0.96838,                0.82002,                0.64449,                0.77657,                0.84422,              0.0002674,              0.0002674,              0.0002674
                     40,                0.71369,                0.66471,                0.93079,                0.96137,                0.95689,                0.96841,                0.81158,                0.65105,                0.76494,                0.84886,              0.0002476,              0.0002476,              0.0002476
                     41,                0.66033,                0.67767,                0.91716,                0.95934,                0.95663,                0.96756,                0.79925,                0.67761,                0.80536,                0.85507,              0.0002278,              0.0002278,              0.0002278
                     42,                0.66658,                0.68658,                0.92399,                 0.9684,                0.96241,                0.96638,                 0.7908,                0.67981,                0.83234,                0.85242,               0.000208,               0.000208,               0.000208
                     43,                0.64236,                0.68914,                0.90934,                0.96935,                0.96023,                0.96995,                0.81003,                0.63256,                0.76615,                0.83818,              0.0001882,              0.0001882,              0.0001882
                     44,                0.64426,                0.65678,                0.89643,                 0.9768,                0.95388,                0.96994,                0.81013,                0.65351,                0.73144,                0.84216,              0.0001684,              0.0001684,              0.0001684
                     45,                0.63753,                0.64331,                0.88907,                0.97705,                0.95494,                0.96998,                0.81836,                0.65253,                0.72523,                0.84473,              0.0001486,              0.0001486,              0.0001486
                     46,                0.65435,                0.65351,                0.92021,                0.97788,                0.95599,                0.97336,                0.83741,                 0.6071,                0.70837,                0.83354,              0.0001288,              0.0001288,              0.0001288
                     47,                0.63076,                 0.6182,                0.89754,                0.97791,                0.95496,                0.97207,                 0.8388,                0.60197,                0.70924,                0.83462,               0.000109,               0.000109,               0.000109
                     48,                0.61994,                0.61988,                0.90272,                0.97404,                0.95533,                0.97119,                0.83572,                0.61013,                0.71795,                  0.839,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.59387,                0.62445,                0.88866,                0.97448,                0.95355,                0.97005,                0.82023,                0.61938,                0.72221,                0.84091,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.63514,                0.63711,                0.91088,                0.97692,                0.95237,                0.97232,                0.83433,                0.60296,                 0.7152,                0.83699,               4.96e-05,               4.96e-05,               4.96e-05
