                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77629,                 4.0304,                0.92474,                0.00218,                0.13274,                0.00243,                0.00203,                 0.4977,                 4.1271,                0.80438,                  7e-05,                  7e-05,                  7e-05
                      2,                0.67209,                 3.3314,                0.87204,                0.00719,                0.43534,                0.10249,                0.08514,                0.52934,                 3.9639,                0.79662,             0.00014703,             0.00014703,             0.00014703
                      3,                0.64083,                 2.5248,                0.85061,                0.01177,                0.61697,                0.14068,                0.12148,                0.54629,                 3.7776,                0.79861,             0.00022089,             0.00022089,             0.00022089
                      4,                0.63033,                 2.2887,                 0.8472,                0.01505,                0.71282,                0.17612,                0.13741,                0.59772,                 3.5968,                0.80137,             0.00029159,             0.00029159,             0.00029159
                      5,                 0.5972,                 2.0274,                0.84565,                0.01722,                0.79808,                  0.202,                0.15883,                0.55042,                 3.4426,                0.78782,             0.00035911,             0.00035911,             0.00035911
                      6,                0.56926,                 1.8381,                0.85752,                0.19737,                0.34603,                0.24409,                0.20254,                0.51606,                 3.3684,                0.78165,             0.00042347,             0.00042347,             0.00042347
                      7,                0.63116,                 1.5772,                0.84899,                0.67148,                0.18889,                0.31113,                0.25686,                0.52495,                 3.2149,                 0.7838,             0.00048466,             0.00048466,             0.00048466
                      8,                0.60793,                  1.434,                0.85195,                0.73163,                0.13989,                0.41281,                0.36533,                0.51963,                 3.0341,                0.78426,             0.00054268,             0.00054268,             0.00054268
                      9,                0.63005,                  1.293,                 0.8665,                0.63411,                0.19576,                0.59701,                0.51656,                0.54234,                 2.7012,                0.81296,             0.00059754,             0.00059754,             0.00059754
                     10,                0.59089,                 1.2049,                0.85601,                0.62665,                0.28436,                0.67041,                0.59013,                0.46778,                 2.5511,                0.80152,             0.00064922,             0.00064922,             0.00064922
                     11,                0.57673,                 1.1559,                0.85718,                0.80546,                0.53055,                0.77425,                 0.6725,                0.54428,                 2.2457,                0.82192,             0.00069774,             0.00069774,             0.00069774
                     12,                0.56308,                 1.0023,                0.86111,                0.76891,                0.72999,                0.85973,                 0.7591,                0.51145,                 1.6958,                0.82022,             0.00074309,             0.00074309,             0.00074309
                     13,                0.53182,                0.93266,                0.85525,                0.93036,                0.90672,                0.95223,                0.84825,                0.52405,                 1.4488,                0.83191,              0.0007624,              0.0007624,              0.0007624
                     14,                0.52239,                0.87101,                 0.8553,                0.91547,                0.93833,                0.96842,                0.86929,                0.49853,                 1.3218,                0.82686,              0.0007624,              0.0007624,              0.0007624
                     15,                0.55104,                0.83983,                 0.8532,                0.87738,                0.90906,                0.95202,                0.84859,                0.49889,                 1.1942,                0.82542,              0.0007426,              0.0007426,              0.0007426
                     16,                0.51736,                0.77176,                0.85007,                 0.8959,                0.87053,                0.93876,                0.85025,                0.46904,                 1.2079,                0.82038,              0.0007228,              0.0007228,              0.0007228
                     17,                0.51194,                0.75852,                0.84493,                0.89168,                0.89631,                0.95662,                0.85998,                0.49751,                 1.1568,                0.82052,               0.000703,               0.000703,               0.000703
                     18,                0.49284,                0.76908,                0.83829,                0.89435,                0.91074,                0.94618,                0.84606,                0.48196,                 1.0909,                0.81221,              0.0006832,              0.0006832,              0.0006832
                     19,                0.50468,                0.74563,                0.85246,                 0.8517,                0.88906,                0.93314,                0.83983,                0.45336,                 1.2259,                 0.8048,              0.0006634,              0.0006634,              0.0006634
                     20,                0.52447,                0.75007,                0.84528,                0.87775,                0.90244,                0.95547,                0.87086,                 0.4637,                 1.1067,                0.81005,              0.0006436,              0.0006436,              0.0006436
                     21,                0.49726,                0.69782,                0.83523,                0.93551,                0.93426,                0.95569,                0.87672,                0.44182,                0.96485,                0.80585,              0.0006238,              0.0006238,              0.0006238
                     22,                0.50306,                0.66959,                0.83671,                0.92393,                0.92972,                0.95095,                0.84566,                0.50754,                0.86876,                0.81534,               0.000604,               0.000604,               0.000604
                     23,                0.49427,                 0.6787,                0.83024,                0.94601,                0.88362,                0.94777,                0.85583,                0.44827,                 0.9057,                0.79938,              0.0005842,              0.0005842,              0.0005842
                     24,                0.53283,                0.68823,                0.83913,                0.96039,                0.88158,                0.95621,                0.87361,                0.41843,                0.98271,                0.79266,              0.0005644,              0.0005644,              0.0005644
                     25,                0.49253,                0.66939,                0.82914,                0.97293,                0.94342,                0.95823,                0.87156,                0.45796,                0.80835,                0.80467,              0.0005446,              0.0005446,              0.0005446
                     26,                 0.4996,                0.65157,                0.84262,                0.95705,                0.92309,                0.95429,                0.89202,                0.39916,                0.78578,                0.79381,              0.0005248,              0.0005248,              0.0005248
                     27,                0.49817,                 0.6141,                0.83963,                0.95366,                0.91457,                 0.9509,                0.87885,                0.42323,                0.81294,                0.79274,               0.000505,               0.000505,               0.000505
                     28,                0.47797,                0.62515,                0.82588,                0.95447,                0.91494,                0.95916,                0.87515,                0.43498,                0.84083,                0.79295,              0.0004852,              0.0004852,              0.0004852
                     29,                0.49016,                0.65513,                0.83974,                0.91067,                0.93723,                0.96816,                0.88433,                0.41095,                0.79757,                0.79002,              0.0004654,              0.0004654,              0.0004654
