                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                0.46773,                0.60388,                0.82579,                0.96374,                0.90135,                0.96548,                0.88375,                0.40677,                0.78887,                0.79318,              0.0004456,              0.0004456,              0.0004456
                     31,                0.45078,                0.58825,                0.82406,                0.88884,                0.96001,                0.95998,                0.88487,                0.40625,                 0.8148,                0.79196,              0.0004258,              0.0004258,              0.0004258
                     32,                0.46401,                0.58849,                 0.8295,                0.95655,                0.90403,                0.95831,                0.88384,                0.38975,                0.80615,                0.78672,               0.000406,               0.000406,               0.000406
                     33,                 0.4476,                0.56617,                0.83075,                0.93897,                0.92258,                0.96019,                0.88162,                0.39314,                 0.7822,                0.78707,              0.0003862,              0.0003862,              0.0003862
                     34,                0.44803,                0.57655,                0.82483,                0.92945,                0.91156,                0.95947,                0.88287,                0.39051,                0.79708,                0.78716,              0.0003664,              0.0003664,              0.0003664
                     35,                0.42429,                0.56544,                0.82871,                0.89919,                0.94416,                0.95947,                0.88957,                0.38334,                0.79217,                0.78469,              0.0003466,              0.0003466,              0.0003466
                     36,                0.44244,                0.56469,                 0.8217,                 0.9421,                0.93375,                0.96116,                0.88843,                0.40747,                0.76772,                0.79052,              0.0003268,              0.0003268,              0.0003268
                     37,                 0.4558,                0.54384,                0.82109,                0.95775,                0.92261,                0.95782,                0.88506,                0.43269,                0.74981,                0.80317,               0.000307,               0.000307,               0.000307
                     38,                0.43351,                0.53948,                0.82894,                0.93952,                0.91486,                0.96148,                0.89392,                0.39779,                0.73917,                0.79886,              0.0002872,              0.0002872,              0.0002872
                     39,                0.48597,                0.56882,                0.83686,                0.93556,                0.95835,                0.96495,                0.89721,                0.39293,                0.73835,                 0.8021,              0.0002674,              0.0002674,              0.0002674
                     40,                0.44584,                 0.5434,                0.81671,                0.89394,                0.97874,                0.96309,                0.88649,                 0.4072,                0.74122,                0.80361,              0.0002476,              0.0002476,              0.0002476
                     41,                0.40689,                0.56368,                0.80902,                0.91601,                0.95836,                0.96241,                 0.8991,                0.39986,                0.74037,                 0.8102,              0.0002278,              0.0002278,              0.0002278
                     42,                0.40938,                0.57767,                0.80895,                0.90754,                0.96122,                 0.9612,                0.91051,                0.36691,                0.75382,                0.80607,               0.000208,               0.000208,               0.000208
                     43,                 0.3843,                0.56188,                0.80255,                0.89636,                0.96685,                0.96006,                0.90108,                0.37807,                0.73535,                0.80652,              0.0001882,              0.0001882,              0.0001882
                     44,                0.41696,                0.54926,                0.81754,                0.92575,                0.92663,                0.96067,                0.89446,                0.38158,                0.69855,                0.79551,              0.0001684,              0.0001684,              0.0001684
                     45,                0.39679,                0.53567,                0.80915,                 0.9476,                 0.9392,                0.96175,                0.90195,                0.37671,                0.69099,                0.79467,              0.0001486,              0.0001486,              0.0001486
                     46,                0.39028,                0.53677,                0.80675,                0.94348,                0.93739,                0.96312,                0.90015,                0.38122,                 0.6864,                0.80039,              0.0001288,              0.0001288,              0.0001288
                     47,                0.38035,                0.52848,                0.80331,                0.93124,                0.94347,                 0.9631,                0.90527,                0.37456,                0.68089,                0.80135,               0.000109,               0.000109,               0.000109
                     48,                0.38475,                0.52173,                0.79504,                0.96282,                0.90323,                0.96093,                0.90113,                0.37522,                0.67552,                 0.8022,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.37809,                0.51085,                 0.8098,                0.96151,                0.90401,                0.96166,                0.89598,                0.37206,                0.66444,                0.80178,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.37551,                0.50361,                0.81272,                0.96095,                0.90441,                 0.9618,                0.89878,                0.36651,                0.65929,                0.80066,               4.96e-05,               4.96e-05,               4.96e-05
